Id,Label,Gender
AEGON,Aegon,Male
AERYS,Aerys,Male
ALYS,Alys,Female
ARYA,Arya,Female
BALERION,Balerion,Male
BENJEN,Benjen,Male
BERIC,Beric,Male
BRAN,Bran,Male
BRIENNE,Brienne,Female
BRONN,Bronn,Male
CATELYN,Catelyn,Female
CERSEI,Cersei,Female
DAENERYS,Daenerys,Female
DAVOS,Davos,Male
DICKON,Dickon,Male
EDDISON_TOLLETT,Eddison,Male
DROGO,Drogo,Male
ELLARIA,Ellaria,Female
EURON,Euron,Male
GENDRY,Gendry,Male
GILLY,Gilly,Female
GREY_WORM,Grey Worm,Male
HARRAG,Harrag,Male
HIGH_SEPTON,High Septon (Aerys),Male
HOT_PIE,Hot Pie,Female
HOUND,Sandor,Male
HOWLAND,Howland,Male
JAIME,Jaime,Male
JEOR,Jeor,Male
JOANNA,Joanna,Female
JOFFREY,Joffrey,Male
JON,Jon,Male
JON_ARRYN,Jon Arryn,Male
JORAH,Jorah,Male
LITTLE_SAM,Little Sam,Male
LITTLEFINGER,Petyr,Male
LYANNA,Lyanna,Female
LYANNA_MORMONT,Lyanna Mormont,Female
LYSA,Lysa,Female
MARGAERY,Margaery,Female
MARWYN,Marwin,Male
MEERA,Meera,Female
MELISANDRE,Melisandre,Female
MISSANDEI,Missandei,Female
MOUNTAIN,Gregor,Male
MYRCELLA,Myrcella,Female
NED,Ned,Male
NED_UMBER,Ned Umber,Male
NIGHT_KING,Night King,Male
NYMERIA,Nymeria,Female
OBARA,Obara,Male
OBERYN,Oberyn,Female
OLENNA,Olenna,Female
PODRICK,Podrick,Male
QHONO,Qhono,Female
QYBURN,Qyburn,Male
RAMSAY,Ramsay,Male
RANDYLL,Randyll,Female
RHAEGAR,Rhaegar,Male
ROBB,Robb,Male
ROBERT,Robert,Male
ROBETT,Robett,Male
SAM,Sam,Male
SANSA,Sansa,Female
SHIREEN,Shireen,Female
STANNIS,Stannis,Male
THEON,Theon,Male
THOROS,Thoros,Male
TOMMEN,Tommen,Male
TORMUND,Tormund,Male
TYCHO,Tycho,Male
TYENE,Tyene,Female
TYRION,Tyrion,Male
TYWIN,Tywin,Male
VARYS,Varys,Male
VISERYS,Viserys,Female
WALDER,Walder,Male
WHITE_WALKER,White Walker,Male
MAESTER_WOLKAN,Wolkan,Male
YARA,Yara,Female
YOHN_ROYCE,Yohn Royce,Male